"CASH FLOW WEMBII - ENERO 2026","","","","","","","","","","","","","","","","","","",""
"INGRESOS","mes anterior","-1.000.163","","-$1.005.180","","EGRESOS","","","","EGRESOS EXTRANJEROS","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$3.089.990","-$5.018","","Concepto","$3.095.008","$602","","Wembii","$281.008","$295","","Entel","Smart","","","",""
"Entel Enero 2026","","Pagado","$1.300.000","","","Softwares","$281.008","$302","","Gsuite","$42.355","$43","","Wembii","Pro","","","",""
"Renovación Kismet","","Pagado","$149.990","","","AWS","$294.000","$300","","Crisp","$65.503","$67","","","Premium","","","",""
"Controll","","Pagado","$270.000","","","Meta ADS kiT","$300.000","","","Cursor RA","$19.700","$20","","","Servicio","","","",""
"Caco Hosting","","Pagado","$150.000","","","Youtube ADS","$520.000","","","Aweber","$125.550","$135","","","Tu Negocio Digital","","","",""
"Caco Web","","Pagado","$150.000","","","Bastian","$700.000","","","Chat GPT","$27.900","$30","","","","","","",""
"JCG Campañas Meta Ads","","Pagado","$200.000","","","Gonzalo","$350.000","","","","","","","","","","","",""
"Alvaro tu mundo movimiento","","Pagado","$570.000","","","Atem","$650.000","","","","","","","","","","","",""
"Web JCG","","Pagado","$150.000","","","","","","","","","","","","","","","",""
"Web JCG inversiones","","Pagado","$150.000","","","","","","","","","","","","","","","",""
